组织名称,大连润达蜂业有限公司
统一社会信用代码,91210211241778729A
行政处罚决定文书号,大市监处罚[2021] 3-059
法人代表人,陈建业
违法行为类型,违反了《中华人民共和国食品安全法》第三十四条第（十三】项的规定
违法事实,大连润达蜂业有限公司生产其他不符合食品安全标准的食品树蜂蜜、枣花蜂蜜
处罚依据,依据《中华人民共和国食品安全法》第一百二十四条第二款和第一款，依据《辽宁省市场监督管理行歧处罚裁量权适用规则》第十五条（一（二的规定。
处罚类别,"没收违法所得,罚款"
处罚内容,1、没收违法所得；2、罚款
罚款金额（万元）,0.50.026
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2021-10-26
处罚有效期,2099-12-31
公示截止期,2024-10-26
处罚机关,大连市市场监督管理局
