组织名称,大连信宝硅业有限公司
统一社会信用代码,91210283MA0YKTDT6D
行政处罚决定文书号,庄水罚决字[2020]第7号’
法人代表人,李来干
违法行为类型,非法占用河道
违法事实,非法占用河道
处罚依据,《辽宁省实施《中华人民共和国防洪法）办法》第四十二条
处罚类别,罚款
处罚内容,非法占用河道
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2020-05-19
处罚有效期,2020-05-19
公示截止期,2023-05-19
处罚机关,庄河市水务局
