组织名称,庄河市兰店乡方兴养殖有限公司
统一社会信用代码,91210283MA0XU0CE1B
行政处罚决定文书号,主市监（信】处罚【2023]3号
法人代表人,于林
违法行为类型,违反广《中华人民和国个人独资企业法》第三十六条“个人独资企业成豆后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，吊销营业执聪。“、《中华人民共和国公可法》第二白一十条第一款”公司成豆后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，可以由公司登记机关吊销营业执照。“的规定
违法事实,当事人未年报、通过电话无法联系、实地查无下落、连续两年无纳税行为。
处罚依据,"依据《中华人民共和国个人独资企业法第三十六条“个人独资企业成立后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，吊销营业执照。”、《中华人民共和国公司法》第二百一十条第一款""公司成立后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，可以由公司登记机关吊销营业执照。”"
处罚类别,暂扣或者吊销许可证、暂扣或者吊销执照
处罚内容,吊销营业热膜
罚款金额（万元）,--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,营业执照
处罚决定日期,2023-01-06
处罚有效期,2028-01-06
公示截止期,2026-01-06
处罚机关,庄河市市场监督管理局
